category,gender
Clothing & Accessories/Clothing/Children's Clothing/Underwear/Bralettes,-2
Home & Interior/Home/Home Accessories,0
Home & Interior/Small Home Appliances/Kitchen Appliances/Other Kitchen Appliances,0
Garden & Patio/Garden & Patio/BBQ Accessories/BBQ Tools/Hot Dog Roller,2
Health & Beauty/Personal Care/Skincare/Facial Treatments & Cleansing Products/Facial Steamers,-1
Home & Interior/Small Home Appliances/Coffee Makers/Coffee Presses,0
Home & Interior/Small Home Appliances/Food Mixers & Food Processors/Food Mixers,0
Do it yourself/Tools & Machines/Hand Tools/Brush Tools,2
Sports & Outdoor/Sports & Outdoor/Climbing/Climbing Harnesses,0
Clothing & Accessories/Clothing & Accessories/Fancy Dresses/Masks/Half Masks,-2
Home & Interior/Interior & Furniture/Textiles/Pillows/Scatter Cushions/Pillows,0
Clothing & Accessories/Clothing/Children's Clothing/Tops/Knitted Sweaters,0
Toys & Hobbies/Toys & Hobbies/Toys/Building Games/Construction Kits,2
Toys & Hobbies/Toys & Hobbies/Arts & Crafts/Paint/Glass Colours,0
Home & Interior/Kitchen/Kitchen Accessories/Kitchenware/Popsicle Molds,0
Home & Interior/Office equipment/Office Supplies/Desktop Organizers & Storage/Paper Storage & Desk Organizers,0
Clothing & Accessories/Clothing/Women's Clothing/Accessories/Headgear/Hats,-1
Garden & Patio/Garden & Patio/BBQ Accessories/Coal & Briquettes/Pellets,2
Do it yourself/Floor Wall & Roof/Roof Equipment/Plastic Roofing/Corrugated Sheet Plastic,2
Garden & Patio/Garden & Patio/Garden & Outdoor Environment/Watering/Water Can,0
Kids & Family/Kids & Family/Child Safety/Body Protection/Safety Harness,0
Gaming & Entertainment/Gaming & Entertainment/Game Controllers/Musical Instruments,0
Clothing & Accessories/Clothing/Children's Clothing/Swimwear/UV Clothes/UV Hats,0
Do it yourself/Floor Wall & Roof/Roof Equipment,0
Health & Beauty/Personal Care/Sex Toys/Cuffs & Ropes/Bondage Ropes,0
Sports & Outdoor/Cycling/Bike Accessories/Cycling Clothing/Cycling Jackets,0
Home & Interior/Interior & Furniture/Lighting/Lamp Parts/Suspensions,0
Sports & Outdoor/Winter Sports/Downhill Skiing/Climbing Skins,0
Home & Interior/Kitchen/Bakeware/Shakers/Sugar Shakers,0
Home & Interior/Food & Wine/Food & Drinks/Spices Flavoring & Sauces/Broth & Stock,0
Clothing & Accessories/Shoes/Shoes/Heels & Pumps,-2
Kids & Family/Kids & Family/Kid's Room/Storage/Clothes Rack,0
Do it yourself/Tools & Machines/Hand Tools/Pliers/Panel Flangers,0
Sports & Outdoor/Sports & Outdoor/Swim & Water Sports/Diving & Snorkeling/Dive Compasses,0
Gaming & Entertainment/Gaming & Entertainment/Gaming Accessories/Redeem Cards,0
Computing/Components/Computer Cooling/CPU Coolers,0
Home & Interior/Home/Cleaning Equipment & Cleaning Agents/Cleaning Equipment/Brushes,0
Health & Beauty/Contacts & Glasses/Contact Lens Accessories,0
Toys & Hobbies/Toys & Hobbies/Toys/Jumping Toys/Skipping Ropes,0
Sports & Outdoor/Sports & Outdoor/Swim & Water Sports/Water Skiing,0
Health & Beauty/Personal Care/Sex Toys/Cuffs & Ropes,0
Do it yourself/Tools & Machines/Power Tools/Pillar Drills,2
Do it yourself/Tools & Machines/Hand Tools/Measurement Tools/Carpenter's Level,2
Garden & Patio/Garden & Patio/Ride-On Lawn Mowers/Lawn Tractor,2
Phones & Wearables/Phones & Wearables/Wearables,0
Home & Interior/Bathroom & Sauna/Bathroom Accessories/Bathtub & Shower Accessories/Bottom Valves,0
Home & Interior/Kitchen/Bakeware/Baking Supplies/Proving Baskets,-1
Garden & Patio,0
Sports & Outdoor/Ball Sports/Basketball/Basketball Nets,0
Clothing & Accessories/Clothing/Men's Clothing/T-Shirts & Tops/T-Shirts,2
Do it yourself/Building Materials/Electrical Accessories/Power Strips & Extension Cords/Popup,2
Home & Interior/Kitchen/Kitchen Accessories/Serving/Serving Platters & Trays/Butter Dishes,-1
Home & Interior/Office equipment/Office Supplies/Postage & Packaging Supplies/Protective & Filling Materials/Bubble Wrap,0
Health & Beauty/Health/First Aid/Eyewash,0
Kids & Family/Kids & Family/Baby Care/Carrying & Sitting/Booster Seats,0
Health & Beauty/Beauty/Cosmetics/Base Makeup & Setting Sprays/CC-Creams,-2
Kids & Family/Kids & Family/Pushchair Accessories/Other Accessories/Lambskin,0
Health & Beauty/Health/Bathroom Scales/Bathroom Scales,0
Health & Beauty/Personal Care/Shaving Accessories/Shaver Cleaners,0
Toys & Hobbies/Toys & Hobbies/Toys/Toy Vehicles/Toy Cars/Garbage Trucks,0
Home & Interior/Small Home Appliances/Kitchen Appliances/Popcorn Makers,0
Garden & Patio/Garden & Patio/Greenhouses/Greenhouse Accessories,0
Clothing & Accessories/Clothing & Accessories/Fancy Dresses/Headgear/Hats,-1
Computing/Components/Computer Cooling/CPU Coolers,2
Kids & Family/Kids & Family/Kid's Room/Storage,0
Kids & Family/Kids & Family/Kid's Room/Sitting Furniture/Rocking Chairs,-1
Garden & Patio/Garden & Patio/Garden Power Tool Accessories/Leaf & Grass Collectors,0
Sports & Outdoor/Cycling/Bikes/Unicycles,0
Do it yourself/Tools & Machines/Hand Tools/Wrenches/Cap Wrench,2
Phones & Wearables/Phones & Wearables/Mobile Phone Accessories/Bluetooth-Trackers,0
Kids & Family/Kids & Family/Pushchair Accessories/Pushchair Parts/Chassis,0
Garden & Patio/Garden & Patio/BBQ Accessories/BBQ Holders/Chicken Roaster,0
Toys & Hobbies/Toys & Hobbies/Arts & Crafts/Pencils/Touch Pen,0
Health & Beauty/Personal Care/Skincare/Foot Care/Foot Scrubs,-1
Toys & Hobbies/Toys & Hobbies/Toys/Classic Toys/String Figure Toys,0
Kids & Family/Kids & Family/Baby Care/Carrying & Sitting/Baby Carriers,-1
Home & Interior/Home/Cleaning Equipment & Cleaning Agents/Cleaning Agents,0
Home & Interior/Interior & Furniture/Lighting/Wall Lamps/Wall Lights,0
Home & Interior/Small Home Appliances/Kitchen Appliances/Kitchen Appliances for Fruit/ Vegetable,0
Computing/Components/Computer Cases,2
Health & Beauty/Personal Care/Dental Care/Toothbrushes Toothpastes & Mouthwashes/Mouth Sprays,0
Clothing & Accessories/Clothing/Clothing/Trousers & Shorts/Jeans,0
Toys & Hobbies/Toys & Hobbies/Arts & Crafts/Painting Accessories/Manikins,0
Home & Interior/Interior & Furniture/Lighting/Table Lamps,0
Health & Beauty/Personal Care/Sex Toys/Advent Calendars,0
Do it yourself/Tools & Machines/Hand Tools/Axes/Throwing Axes,2
Clothing & Accessories/Clothing/Clothing/Trousers & Shorts/Tights,-1
Home & Interior/Interior & Furniture/Furniture/Tables/Dressing Tables,-2
Sports & Outdoor/Winter Sports/Ice Hockey,0
Clothing & Accessories/Clothing/Men's Clothing/Accessories/Bucket hats,2
Home & Interior/Kitchen/Kitchen Accessories/Serving/Bowls/Breakfast Bowls,0
Sports & Outdoor/Winter Sports/Ice Hockey/Player Protective,0
Phones & Wearables/Phones & Wearables/Mobile Phones,0
Kids & Family/Kids & Family/Kid's Room/Lighting/Table Lamps,0
Kids & Family/Kids & Family/Child Safety/Baby Alarm/Baby Monitors,0
Sound & Vision/Musical Instruments/Musical Accessories/Drum Head(skin),0
Toys & Hobbies/Toys & Hobbies/Toys/Crafts/Hammer Nail Mosaic,0
Home & Interior/Food & Wine/Wines/Mulled Wines,0
Clothing & Accessories/Accessories/Jewellery/Jewellery Storage/Jewellery Stands,0
